title,description,price,inventory,magicka_cost,magic_school,skill_level
Necromantic Healing DG,Heals the undead target 10 points per second but not the living atronachs or machines,3999,40,37,Restoration,Apprentice
Steadfast Ward,Increases armor rating by 60 points and negates up to 60 points of spell damage or effects.,3999,40,58 per second,Restoration,Apprentice
Sun Fire DG,Ball of sunlight that does 25 points of damage to undead,3999,40,24,Restoration,Apprentice
Turn Lesser Undead,Undead up to level 6 flee for 30s.,3999,40,84,Restoration,Apprentice
Bound Battleaxe,Creates a magic battle axe for 120 seconds. Sheathe it to dispel.,2595,40,169,Conjuration,Apprentice
Conjure Boneman DG,Summons a Boneman archer for 60 seconds wherever the caster is pointing.,2595,40,129,Conjuration,Apprentice
Conjure Flame Atronach,Summons a Flame Atronach for 60 seconds wherever the caster is pointing.,2595,40,150,Conjuration,Apprentice
Flaming Familiar,Summons a Flaming Familiar which will charge into battle and explode.,2595,40,57,Conjuration,Apprentice
Reanimate Corpse,Reanimate a more powerful dead body to fight for the player for 60 seconds.,2595,40,144,Conjuration,Apprentice
Soul Trap,If a target dies within 60 seconds fills a soul gem.,2595,40,107,Conjuration,Apprentice
Spectral Arrow (Bound Bow),Fires a Spectral Arrow at the target doing 30 points of damage and staggering the target (shot from Bound Bow but can be obtained alone with console commands).,2595,40,0,Conjuration,Apprentice
Summon Arniel's Shade,Summons the Shade of Arniel Gane for 60 seconds wherever the caster is pointing.,2595,40,71,Conjuration,Apprentice
Summon Arvak DG,Summons the horse Arvak wherever the caster is pointing.,2595,40,136,Conjuration,Apprentice
Magelight,Ball of light that lasts 60 seconds and sticks where it strikes.,2595,40,84,Alteration,Apprentice
Stoneflesh,Improves the caster's armor rating by 60 points for 60 seconds.,2595,40,194,Alteration,Apprentice
Icy Spear,A spear of ice that does 60 (90) points of frost damage to Health and Stamina.,6999,25,320,Destruction,Expert
Incinerate,A blast of fire that does 60 (90) points of fire damage. Targets on fire take extra damage.,6999,25,298,Destruction,Expert
Thunderbolt,A thunderbolt that does 60 (90) points of shock damage to Health and half that to Magicka.,6999,25,343,Destruction,Expert
Wall of Flames,Sprayed on the ground it creates a wall of fire that does 50 points of fire damage per second. Does not harm Followers or Dragonborn.,6999,25,118 per second,Destruction,Expert
Wall of Frost,Sprayed on the ground it creates a wall of frost that does 50 points of frost damage per second. Does not harm Followers or Dragonborn.,6999,25,137 per second,Destruction,Expert
Wall of Storms,Sprayed on the ground it creates a wall of lightning that does 50 points of shock damage per second. Does not harm Followers or Dragonborn.,6999,25,145 per second,Destruction,Expert
Circle of Protection,Undead up to level 20 entering the circle will flee.,5595,25,171,Restoration,Expert
Grand Healing,Heals everyone close to the caster 200 points. Does not affect atronachs machines or undead.,5595,25,254,Restoration,Expert
Repel Undead,All affected undead up to level 16 flee for 30s.,5595,25,353,Restoration,Expert
Turn Greater Undead,Undead up to level 21 flee for 30s.,5595,25,267,Restoration,Expert
Conjure Ash Guardian DR,Creates an Ash Guardian that guards that location until destroyed. Consumes a heart stone from your inventory without which it will be hostile.,4099,30,207,Conjuration,Expert
Command Daedra,Powerful summoned and raised creatures are put under the player's control.,4099,30,243,Conjuration,Expert
Conjure Dremora Lord,Summons a Dremora Lord for 60 seconds.,4099,30,358,Conjuration,Expert
Conjure Wrathman DG,Summons a Wrathman from the Soul Cairn for 60 seconds wherever the caster is pointing.,4099,30,301,Conjuration,Expert
Conjure Storm Atronach,Summons a Storm Atronach for 60 seconds wherever the caster is pointing.,4099,30,322,Conjuration,Expert
Dread Zombie,Reanimate a very powerful dead body to fight for the player for 60 seconds.,4099,30,302,Conjuration,Expert
Expel Daedra,Powerful summoned daedra creatures are sent back to Oblivion.,4099,30,215,Conjuration,Expert
Ash Rune DR,Cast on a nearby surface it explodes when enemies are nearby immobilizing them in hardened ash for 30 seconds.,4099,30,248,Alteration,Expert
Detect Dead,Nearby dead can be seen through walls.,4099,30,148 per second,Alteration,Expert
Ebonyflesh,Improves the caster's armor rating by 100 points for 60 seconds.,4099,30,341,Alteration,Expert
Paralyze,Targets that fail to resist are paralyzed for 10 seconds.,4099,30,450,Alteration,Expert
Blizzard,Creates a blizzard that surrounds the caster. Targets take 20 point of frost damage every second for 10 seconds plus stamina damage.,8999,10,656,Destruction,Master
Fire Storm,A 100-point fiery explosion centered on the caster. The closer a target is the more damage they take.,8999,10,846,Destruction,Master
Lightning Storm,Fires a continuous stream of lightning. Target takes 75 points of shock damage per second to Health and half that to Magicka.,8999,10,138 per second,Destruction,Master
Bane of the Undead,Sets undead up to level 44 on fire and makes them flee for 30s.,7495,10,988,Restoration,Master
Guardian Circle,Undead up to level 35 entering the circle will flee. Caster heals 20 health per second inside it.,7495,10,716,Restoration,Master
Dead Thrall,Reanimate a dead body permanently to fight for the player.,5999,15,1000,Conjuration,Master
Flame Thrall,Summons a Flame Atronach permanently.,5999,15,900,Conjuration,Master
Frost Thrall,Summons a Frost Atronach permanently.,5999,15,1100,Conjuration,Master
Storm Thrall,Summons a Storm Atronach permanently.,5999,15,1200,Conjuration,Master
Dragonhide,Caster ignores 80% of all physical damage for 30 seconds.,5999,15,837,Alteration,Master
Mass Paralysis,All targets in the area that fail to resist are paralyzed for 15 seconds.,5999,15,937,Alteration,Master
Flames,A gout of fire inflicting a base damage of 8 points of fire damage per second. Targets on fire take extra damage. One of the two basic spells.,3499,50,14 per second,Destruction,Novice
Frostbite,A blast of cold inflicting a base damage of 8 points of frost damage per second to Health and Stamina.,3499,50,16 per second,Destruction,Novice
Sparks,Lightning which inflicts a base damage of 8 points of shock damage per second to Health and Magicka.,3499,50,19 per second,Destruction,Novice
Arniel's Convection,Burns the target 1 point per second. Targets on fire take extra damage.,3499,50,0 per second,Destruction,Novice
Vampiric Drain,Absorb 2 3 4 or 5 points (depends upon the level of vampirism) of health from the target.,3499,50,6 10 13 or 17 per second (depends upon the level of vampirism),Destruction,Novice
Healing,Heals the caster 10 points per second. One of the two basic spells.,1999,50,12 per second,Restoration,Novice
Lesser Ward,Increases armor rating by 40 points and negates up to 40 points of spell damage or effects.,1999,50,34 per second,Restoration,Novice
Bound Dagger DR,Creates a magic dagger for 120 seconds. Sheathe it to dispel.,1495,50,32,Conjuration,Novice
Bound Sword,Creates a magic sword for 120 seconds. Sheathe it to dispel.,1495,50,93,Conjuration,Novice
Conjure Familiar,Summons a Familiar for 60 seconds wherever the caster is pointing.,1495,50,107,Conjuration,Novice
Raise Zombie,Reanimate a weak dead body to fight for the player for 60 seconds.,1495,50,103,Conjuration,Novice
Summon Unbound Dremora,Summons an unbound Dremora.,1495,50,100,Conjuration,Novice
Candlelight,Creates a hovering light that lasts for 60 seconds.,1495,50,21,Alteration,Novice
Equilibrium,Convert health into magicka at a rate of 25 points per second. Caster can be killed by this effect.,1495,50,0 (25 health per second),Alteration,Novice
Oakflesh,Improves the caster's armor rating by 40 points for 60 seconds.,1495,50,103,Alteration,Novice
